[1/10/2025 6:05:14 PM] [INFO] received Windows console close event; shutting log-core down
[1/10/2025 6:10:15 PM] [INFO] received Windows console close event; shutting log-core down
[1/10/2025 6:11:43 PM] [INFO] received Windows console close event; shutting log-core down
[1/10/2025 6:14:54 PM] [INFO] received Windows console close event; shutting log-core down
[1/10/2025 6:16:51 PM] [INFO] received Windows console close event; shutting log-core down
[1/10/2025 6:20:13 PM] [INFO] received Windows console close event; shutting log-core down
[1/10/2025 6:22:02 PM] [INFO] received Windows console close event; shutting log-core down
[1/12/2025 11:54:47 AM] [INFO] received Windows console close event; shutting log-core down
[1/12/2025 11:55:05 AM] [INFO] received Windows console close event; shutting log-core down
[1/12/2025 11:56:39 AM] [INFO] received Windows console close event; shutting log-core down
[1/12/2025 11:59:42 AM] [INFO] received Windows console close event; shutting log-core down
[1/12/2025 12:01:27 PM] [INFO] received Windows console close event; shutting log-core down
[1/12/2025 4:11:26 PM] [INFO] received Windows console close event; shutting log-core down
[1/12/2025 4:19:12 PM] [INFO] received Windows console close event; shutting log-core down
[1/12/2025 4:21:40 PM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 12:33:20 AM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 12:35:43 AM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 12:55:38 AM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 12:57:08 AM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 8:54:34 AM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 8:55:44 AM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 8:56:53 AM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 8:58:38 AM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 9:02:29 AM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 11:06:48 PM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 11:07:46 PM] [INFO] received Windows console close event; shutting log-core down
[1/13/2025 11:16:35 PM] [INFO] received Windows console close event; shutting log-core down
[1/15/2025 2:31:29 AM] [INFO] received Windows console close event; shutting log-core down
[1/15/2025 2:32:56 AM] [INFO] received Windows console close event; shutting log-core down
[1/15/2025 2:34:38 AM] [INFO] received Windows console close event; shutting log-core down
[1/15/2025 2:35:55 AM] [INFO] received Windows console close event; shutting log-core down
[1/15/2025 2:41:30 AM] [INFO] received Windows console close event; shutting log-core down
[1/15/2025 2:52:53 AM] [INFO] received Windows console close event; shutting log-core down
[1/15/2025 2:53:54 AM] [INFO] received Windows console close event; shutting log-core down
[1/17/2025 8:37:33 AM] [INFO] received Windows console close event; shutting log-core down
[1/17/2025 11:25:01 PM] [INFO] received Windows console close event; shutting log-core down
[1/17/2025 11:25:40 PM] [INFO] received Windows console close event; shutting log-core down
[1/17/2025 11:26:38 PM] [INFO] received Windows console close event; shutting log-core down
[1/17/2025 11:28:29 PM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 10:34:38 AM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 10:35:58 AM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 10:38:39 AM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 10:40:22 AM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 10:57:15 AM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 8:44:51 PM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 8:45:14 PM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 8:46:09 PM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 8:46:29 PM] [INFO] received Windows console close event; shutting log-core down
[1/18/2025 8:47:52 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 11:08:27 AM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 11:09:42 AM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 11:31:47 AM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 2:48:37 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 8:05:18 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 8:06:39 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 8:14:02 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 8:46:25 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 8:48:10 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 8:51:52 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 8:57:16 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 9:37:50 PM] [INFO] received Windows console close event; shutting log-core down
[1/25/2025 9:40:15 PM] [INFO] received Windows console close event; shutting log-core down
[1/26/2025 8:46:17 AM] [INFO] received Windows console close event; shutting log-core down
[1/26/2025 8:50:49 AM] [INFO] received Windows console close event; shutting log-core down
[1/26/2025 8:55:07 AM] [INFO] received Windows console close event; shutting log-core down
[1/26/2025 10:38:23 AM] [INFO] received Windows console close event; shutting log-core down
[1/26/2025 10:49:23 AM] [INFO] received Windows console close event; shutting log-core down
[1/26/2025 4:40:59 PM] [INFO] received Windows console close event; shutting log-core down
[1/27/2025 5:24:58 PM] [INFO] received Windows console close event; shutting log-core down
[1/27/2025 5:26:07 PM] [INFO] received Windows console close event; shutting log-core down
[1/27/2025 5:31:25 PM] [INFO] received Windows console close event; shutting log-core down
